Region,Population,%Urban,Urban_Population_in_Thousands
Afghanistan,35530082,25,8971
Algeria,41318141,72,29771
Angola,29784193,65,19312
Armenia,2930450,63,1849
Azerbaijan,9827589,55,5439
Bangladesh,164669750,36,59047
Belize,374681,46,171
Benin,11175692,47,5227
Bolivia (Plurinational State of),11051600,69,7634
Burkina Faso,19193383,29,5517
Burundi,10864245,13,1380
Cambodia,16005373,23,3678
Cameroon,24053727,56,13416
Chad,14899994,23,3406
Colombia,49065613,80,39471
Congo,5260750,66,3496
Côte d'Ivoire,24294750,50,12227
Cuba,11484636,77,8841
Democratic Republic of the Congo,81339984,44,35692
Dominican Republic,10766998,80,8643
Ecuador,16624857,64,10585
Egypt,97553148,43,41660
El Salvador,6377853,71,4546
Eswatini,1367254,24,323
Ethiopia,104957438,20,21317
Gambia,2100568,61,1273
Ghana,28833629,55,15976
Guatemala,16913504,51,8572
Guinea,12717176,36,4552
Guinea-Bissau,1861283,43,799
Guyana,777859,27,206
Haiti,10981229,54,5968
India,1339180125,34,449965
Indonesia,263991375,55,144295
Iraq,38274617,70,26899
Kazakhstan,18204498,57,10438
Kenya,49699863,27,13201
Kyrgyzstan,6045117,36,2184
Lao People's Democratic Republic,6858160,34,2357
Lesotho,2233339,28,619
Liberia,4731906,51,2399
Maldives,436330,39,172
Mali,18541980,42,7708
Marshall Islands,53127,77,41
Mauritania,4420184,53,2335
Mexico,129163273,80,103159
Mongolia,3075647,68,2103
Myanmar,53370609,30,16183
Namibia,2533794,49,1242
Nepal,29304998,19,5666
Nigeria,190886313,50,94525
Pakistan,197015953,36,71797
Paraguay,6811297,61,4175
Peru,32165484,78,24999
Philippines,104918094,47,48978
Rwanda,12208407,17,2091
Sao Tome and Principe,204327,72,147
Senegal,15850567,47,7409
Sierra Leone,7557212,42,3147
Solomon Islands,611343,23,142
Somalia,14742523,44,6544
South Africa,56717156,66,37348
Sudan,40533328,34,13931
Syrian Arab Republic,18269867,54,9774
Tajikistan,8921343,27,2407
Thailand,69037516,49,33966
Timor-Leste,1296311,30,392
Togo,7797694,41,3210
Tunisia,11532127,69,7916
Uganda,42862957,23,9942
United Republic of Tanzania,57310020,33,18943
Vanuatu,276244,25,70
Viet Nam,95540797,35,33643
Yemen,28250420,36,10175
Zambia,17094131,43,7346
Zimbabwe,16529904,32,5329
